Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, frs
13785.0, 1.0297738387977926, 101, 12, 260.0, 2x200, Compact9, nrs
13792.0, 1.030056809049918, 102, 12, 260.0, 2x200, Compact9, nrs
14050.0, 1.03021691418563, 103, 12, 260.0, 2x200, Compact9, nrs
14052.0, 1.0300541362596987, 104, 12, 260.0, 2x200, Compact9, nrs
14060.0, 1.0299973030631033, 105, 12, 260.0, 2x200, Compact9, nrs
14063.0, 1.0303408261338332, 106, 12, 260.0, 2x200, Compact9, nrs
14066.0, 1.0304331226247074, 107, 12, 260.0, 2x200, Compact9, nrs
14074.0, 1.0304417032205924, 108, 12, 260.0, 2x200, Compact9, nrs
14078.0, 1.0315143037757057, 109, 12, 260.0, 2x200, Compact9, nrs
14109.0, 1.031728707234204, 110, 12, 260.0, 2x200, Compact9, nrs
14145.0, 1.0317777576702183, 111, 12, 260.0, 2x200, Compact9, nrs
14145.0, 1.0317777576702183, 111, 12, 260.0, 2x200, Compact9, nrs
15050.0, 1.031730398463105, 112, 13, 260.0, 2x200, Compact9, nrs
15357.0, 1.0316641712291033, 113, 13, 260.0, 2x200, Compact9, nrs
15504.0, 1.0316306466244776, 114, 13, 260.0, 2x200, Compact9, nrs
15511.0, 1.0317225276132742, 115, 13, 260.0, 2x200, Compact9, nrs
15518.0, 1.0318536719999534, 116, 13, 260.0, 2x200, Compact9, nrs
15567.0, 1.031823037800863, 117, 13, 260.0, 2x200, Compact9, nrs
15571.0, 1.031810272582902, 118, 13, 260.0, 2x200, Compact9, nrs
15577.0, 1.0319664583258266, 119, 13, 260.0, 2x200, Compact9, nrs
15585.0, 1.0317000711731115, 120, 13, 260.0, 2x200, Compact9, nrs
15590.0, 1.0314380871138296, 121, 13, 260.0, 2x200, Compact9, nrs
15630.0, 1.0314809893261012, 122, 13, 260.0, 2x200, Compact9, nrs
15638.0, 1.0313665068023732, 123, 13, 260.0, 2x200, Compact9, nrs
15638.0, 1.0313665068023732, 123, 13, 260.0, 2x200, Compact9, nrs
16956.0, 1.0313180655455052, 124, 14, 260.0, 2x200, Compact9, nrs
16964.0, 1.031182146998067, 125, 14, 260.0, 2x200, Compact9, nrs
16983.0, 1.0310285542676696, 126, 14, 260.0, 2x200, Compact9, nrs
17087.0, 1.0309074206433755, 127, 14, 260.0, 2x200, Compact9, nrs
17100.0, 1.030852307020473, 128, 14, 260.0, 2x200, Compact9, nrs
17103.0, 1.0317442422349308, 129, 14, 260.0, 2x200, Compact9, nrs
17107.0, 1.032010907668204, 130, 14, 260.0, 2x200, Compact9, nrs
17156.0, 1.031982347080709, 131, 14, 260.0, 2x200, Compact9, nrs
17163.0, 1.0321007295688371, 132, 14, 260.0, 2x200, Compact9, nrs
17297.0, 1.0320982364702058, 133, 14, 260.0, 2x200, Compact9, nrs
17303.0, 1.0320384534855205, 134, 14, 260.0, 2x200, Compact9, nrs
17303.0, 1.0320384534855205, 134, 14, 260.0, 2x200, Compact9, nrs
18762.0, 1.0320098102655484, 135, 16, 260.0, 2x200, Compact9, nrs
18878.0, 1.03203537374434, 136, 16, 260.0, 2x200, Compact9, nrs
18883.0, 1.0320694657013332, 137, 16, 260.0, 2x200, Compact9, nrs
18913.0, 1.0320133053848788, 138, 16, 260.0, 2x200, Compact9, nrs
18915.0, 1.0318785910287915, 139, 16, 260.0, 2x200, Compact9, nrs
18988.0, 1.031869403720549, 140, 16, 260.0, 2x200, Compact9, nrs
18990.0, 1.0319286033442145, 141, 16, 260.0, 2x200, Compact9, nrs
19004.0, 1.0317817125509532, 142, 16, 260.0, 2x200, Compact9, nrs
19012.0, 1.0315594628128346, 143, 16, 260.0, 2x200, Compact9, nrs
19019.0, 1.0313402998766343, 144, 16, 260.0, 2x200, Compact9, nrs
19093.0, 1.0313971724346993, 145, 16, 260.0, 2x200, Compact9, nrs
19100.0, 1.03130129891739, 146, 16, 260.0, 2x200, Compact9, nrs
19132.0, 1.031329398350385, 147, 16, 260.0, 2x200, Compact9, nrs
19132.0, 1.031329398350385, 147, 16, 260.0, 2x200, Compact9, nrs
19152.0, 1.03176864723958, 148, 17, 260.0, 2x200, Compact9, nrs
19253.0, 1.0315554348419989, 149, 17, 260.0, 2x200, Compact9, nrs
19260.0, 1.0314983579402366, 150, 17, 260.0, 2x200, Compact9, nrs
19284.0, 1.0314990684225653, 151, 17, 260.0, 2x200, Compact9, nrs
19291.0, 1.0319065918076198, 152, 17, 260.0, 2x200, Compact9, nrs
19298.0, 1.0316980519918837, 153, 17, 260.0, 2x200, Compact9, nrs
19304.0, 1.031816712036586, 154, 17, 260.0, 2x200, Compact9, nrs
19314.0, 1.0316886796082636, 155, 17, 260.0, 2x200, Compact9, nrs
19318.0, 1.0314855470466722, 156, 17, 260.0, 2x200, Compact9, nrs
19327.0, 1.0314428369922204, 157, 17, 260.0, 2x200, Compact9, nrs
19359.0, 1.0314819932258463, 158, 17, 260.0, 2x200, Compact9, nrs
19381.0, 1.031384841588597, 159, 17, 260.0, 2x200, Compact9, nrs
19381.0, 1.031384841588597, 159, 17, 260.0, 2x200, Compact9, nrs
21531.0, 1.0314400397702768, 160, 20, 260.0, 2x200, Compact9, nrs
21580.0, 1.0314546313488022, 161, 20, 260.0, 2x200, Compact9, nrs
22140.0, 1.0316704098501088, 162, 20, 260.0, 2x200, Compact9, nrs
22341.0, 1.0316844312620375, 163, 20, 260.0, 2x200, Compact9, nrs
22348.0, 1.0317774242206108, 164, 20, 260.0, 2x200, Compact9, nrs
22436.0, 1.0317873925122174, 165, 20, 260.0, 2x200, Compact9, nrs
22441.0, 1.031595902195879, 166, 20, 260.0, 2x200, Compact9, nrs
22444.0, 1.0318744088227043, 167, 20, 260.0, 2x200, Compact9, nrs
22450.0, 1.031755920518314, 168, 20, 260.0, 2x200, Compact9, nrs
22461.0, 1.0316472855554757, 169, 20, 260.0, 2x200, Compact9, nrs
22496.0, 1.031632499021836, 170, 20, 260.0, 2x200, Compact9, nrs
22502.0, 1.0316621684535938, 171, 20, 260.0, 2x200, Compact9, nrs
22510.0, 1.0314780860788635, 172, 20, 260.0, 2x200, Compact9, nrs
