Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, BinaryTournament, BinaryTournament, frs
23712.799999999985, 1.0188297091610259, 66, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23722.799999999985, 1.0188083648288846, 67, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23772.799999999985, 1.0190808670317868, 68, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23828.799999999985, 1.019199558042687, 69, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23837.799999999985, 1.0194278283427645, 70, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23846.799999999985, 1.019981440435863, 71, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
23846.799999999985, 1.019981440435863, 71, 19, 520.0, 4x100, Compact13, BinaryTournament, RouletteWheel, ls
28095.49999999996, 1.0165737354563222, 71, 20, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
28095.49999999996, 1.0165737354563222, 71, 20, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
28954.899999999954, 1.0163435446860953, 72, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
28954.999999999953, 1.0161196605123133, 73, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
29055.999999999953, 1.0163630427542625, 74, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
29070.999999999953, 1.016358667289581, 75, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
29071.999999999953, 1.0161434216673497, 76, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
29114.999999999953, 1.0161787620887945, 77, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30063.999999999953, 1.0159713420620151, 78, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30071.999999999953, 1.0159505433918092, 79, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30081.999999999953, 1.0161431594366648, 80, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30117.999999999953, 1.0162950695537596, 81, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30208.999999999953, 1.016269952862601, 82, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30209.09999999995, 1.0160739293341359, 83, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30217.09999999995, 1.015961022704117, 84, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30235.09999999995, 1.0159034825629052, 85, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30335.09999999995, 1.016145790567707, 86, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30484.09999999995, 1.016292094686755, 87, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30517.09999999995, 1.0162497615652042, 88, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30525.09999999995, 1.0163139005365762, 89, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30534.09999999995, 1.016554037999245, 90, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30564.09999999995, 1.0167370461647727, 91, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30568.09999999995, 1.016705867544924, 92, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30568.19999999995, 1.01652623456057, 93, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30571.19999999995, 1.0163504235546064, 94, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
30586.19999999995, 1.0165638410381979, 95, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
